시장명,지자체,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
방신전통시장,서울강서구,방화1동,상설장,94,매일,"농산물,축산물,수산물",Y,Y,37.57150834,126.812647,9,643,489825,761,1,1,1,1,1,1,1,70,1,1,1,2
신월중앙시장,서울강서구,화곡1동,상설장,30,매일,가공식품,Y,Y,37.52796881,126.8419059,9,643,489825,761,1,2,1,1,1,1,1,100,1,1,2,2
화곡본동시장,서울강서구,화곡본동,상설장,50,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.54288484,126.8441295,9,643,489825,761,1,1,1,1,1,1,2,70,1,1,1,2
화곡중앙골목시장,서울강서구,화곡1동,상설장,58,매일,"농산물,축산물,가정용품,음식점업,기타소매업",Y,Y,37.53488408,126.8395063,9,643,489825,761,1,1,1,1,1,1,1,100,1,1,1,2
관악신사시장,서울관악구,신사동,상설장,104,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48679165,126.9170725,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,1,2
봉일시장,서울관악구,은천동,상설장,24,매일,"농산물,축산물,의류/신발",Y,Y,37.48592467,126.9383804,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,2,1
봉천제일종합시장,서울관악구,청룡동,상설장,30,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.48124954,126.9444156,14,1069,486206,454,1,2,1,1,1,1,2,95,1,1,2,2
봉천중앙시장,서울관악구,중앙동,상설장,30,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48419585,126.9543274,14,1069,486206,454,1,2,1,1,1,1,2,100,1,1,2,2
봉천현대시장,서울관악구,은천동,상설장,32,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48643059,126.946515,14,1069,486206,454,1,2,1,1,1,1,1,90,1,1,1,2
신림종합시장,서울관악구,신사동,상설장,26,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,N,37.4846461,126.9170932,14,1069,486206,454,1,2,1,1,1,1,2,100,1,1,2,2
신림중앙시장,서울관악구,조원동,상설장,292,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.48314523,126.9114212,14,1069,486206,454,,,,,,,,,,,,
신림현대종합상가,서울관악구,서림동,상설장,89,매일,"축산물,가공식품,의류/신발,기타소매업,근린생활서비스",Y,Y,37.47462652,126.9338049,14,1069,486206,454,1,2,1,1,1,1,1,100,1,1,2,1
신신림시장,서울관악구,삼성동,상설장,40,매일,"농산물,축산물,수산물,가공식품",Y,N,37.47066149,126.9321463,14,1069,486206,454,1,1,1,1,1,1,2,100,1,1,2,2
신원시장,서울관악구,신원동,상설장,121,매일,"농산물,축산물,수산물,음식점업,기타소매업",Y,Y,37.48206598,126.9273791,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,1,2
우림시장,서울관악구,난곡동,상설장,95,매일,"농산물,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.47029785,126.9204441,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,2,2
인헌시장,서울관악구,인헌동,상설장,50,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.47486164,126.9647704,14,1069,486206,454,1,1,1,1,1,1,1,100,1,1,1,2
펭귄시장,서울관악구,조원동,상설장,80,매일,"농산물,축산물,수산물,가공식품,가정용품",N,N,37.48314523,126.9114212,14,1069,486206,454,1,2,1,1,2,1,1,100,1,2,2,2
광성시장,서울광진구,중곡1동,상설장,132,매일,"농산물,축산물,수산물,가공식품,가정용품",Y,Y,37.5635863,127.0811202,12,802,334706,417,1,2,1,1,1,1,1,100,1,1,1,1
노룬산골목시장(인정시장),서울광진구,자양2동,상설장,30,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.53218252,127.0862392,12,802,334706,417,1,2,1,1,1,1,2,100,1,1,1,2
노룬산시장(건물형),서울광진구,자양4동,상설장,58,매일,"가공식품,기타소매업,근린생활서비스업",Y,Y,37.5364854,127.0648775,12,802,334706,417,1,2,1,1,1,1,1,100,1,1,1,2
능동로골목시장,서울광진구,자양4동,상설장,87,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",N,N,37.53514507,127.0666557,12,802,334706,417,,,,,,,,,,,,
신성종합시장(건물형),서울광진구,중곡4동,상설장,26,매일,"가공식품,음식점업,기타소매업",Y,N,37.5580803,127.0880508,12,802,334706,417,1,2,1,1,1,1,1,100,1,1,2,2
영동교골목시장,서울광진구,자양4동,상설장,57,매일,"농산물,축산물,가공식품,기타소매업,근린생활서비스업",Y,Y,37.53752561,127.0642052,12,802,334706,417,1,1,1,1,1,1,1,100,1,1,1,2
자양전통시장,서울광진구,자양1동,상설장,136,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.53495924,127.0798018,12,802,334706,417,1,1,1,1,1,1,1,100,1,1,1,2
중곡제일전통시장(중곡제일시장),서울광진구,중곡1동,상설장,137,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.56388274,127.0817652,12,802,334706,417,1,2,1,1,1,1,1,100,1,1,1,1
화양제일골목시장,서울광진구,화양동,상설장,63,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",N,Y,37.54349132,127.0692921,12,802,334706,417,1,1,1,1,1,1,1,90,1,2,1,2
가리봉시장,서울구로구,가리봉동,상설장,66,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.48167727,126.8890779,7,664,414604,624,1,1,1,1,1,1,1,4,1,1,1,2
개봉중앙시장,서울구로구,개봉2동,상설장,21,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,N,37.49178393,126.8540716,7,664,414604,624,1,1,1,1,1,1,1,100,1,1,2,2
개봉프라자,서울구로구,고척2동,상설장,98,매일,"의류/신발,가정용품,음식점업",Y,Y,37.50195711,126.8511199,7,664,414604,624,1,1,1,1,1,1,1,100,1,1,2,1
고척근린시장,서울구로구,고척2동,상설장,69,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.50195711,126.8511199,7,664,414604,624,1,1,1,1,1,1,1,100,1,1,1,2
구로시장,서울구로구,구로4동,상설장,159,매일,"농산물,가공식품,의류/신발,기타소매업,근린생활서비스",Y,N,37.48963005,126.8856198,7,664,414604,624,1,1,1,1,1,1,1,80,1,1,1,2
남구로시장,서울구로구,구로2동,상설장,184,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.49020847,126.8864324,7,664,414604,624,1,1,1,1,1,1,1,20,1,1,1,2
남문시장,서울금천구,독산3동,상설장,108,매일,"농산물,축산물,수산물,의류/신발,음식점업",Y,Y,37.47375823,126.9004225,4,636,244237,384,1,2,1,1,1,1,1,90,1,1,1,2
은행나무시장,서울금천구,시흥5동,상설장,62,매일,"농산물,축산물,수산물,가공식품,의류/신발",N,Y,37.45131824,126.9093491,4,636,244237,384,1,2,1,1,1,1,1,100,1,2,2,2
비단길현대시장,서울금천구,시흥1동,상설장,228,매일,"농산물,축산물,수산물,의류/신발,음식점업",Y,Y,37.45772651,126.9048774,4,636,244237,384,,,,,,,,,,,,
공릉동도깨비시장,서울노원구,공릉1동,상설장,106,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,Y,37.62269037,127.0762493,2,170,429221,2524,1,1,1,1,1,1,2,100,1,2,1,2
방학동도깨비시장,서울도봉구,방학2동,상설장,88,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.66594127,127.0362062,6,402,263122,654,1,1,1,1,1,1,1,100,1,1,1,1
백운시장,서울도봉구,쌍문1동,상설장,54,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,N,37.65549577,127.0148849,6,402,263122,654,1,2,1,1,2,2,2,90,2,2,2,2
쌍문시장,서울도봉구,쌍문3동,상설장,96,매일,"농산물,축산물,수산물",N,N,37.6483674,127.032968,6,402,263122,654,1,2,1,1,1,1,2,100,1,2,2,2
창동골목시장,서울도봉구,창3동,상설장,62,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.63840117,127.0391454,6,402,263122,654,1,1,1,1,1,1,2,100,1,1,1,2
창동신창시장,서울도봉구,창2동,상설장,77,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.63943514,127.0374555,6,402,263122,654,1,1,1,1,1,1,2,90,1,1,1,2
경동광성상가,서울동대문구,제기동,상설장,102,매일,"농산물,축산물,수산물,가공식품",Y,N,37.58099105,127.0388095,16,2914,340094,116,1,1,1,1,1,1,1,100,1,1,1,2
경동시장,서울동대문구,제기동,상설장,678,매일,"농산물,수산물,근린생활서비스",Y,Y,37.57878423,127.0396587,16,2914,340094,116,1,1,1,1,1,1,1,80,1,1,1,1
답십리시장,서울동대문구,답십리2동,상설장,56,매일,"수산물,가공식품,음식점업,기타소매업",Y,N,37.57319423,127.0580659,16,2914,340094,116,1,1,1,1,1,1,1,90,1,1,1,2
답십리현대시장,서울동대문구,답십리2동,상설장,101,매일,"농산물,수산물,가공식품,의류/신발,음식점업",Y,Y,37.5667821,127.0586488,16,2914,340094,116,1,2,1,1,1,1,1,99,1,1,1,2
동부시장,서울동대문구,답십리1동,상설장,30,매일,"농산물,의류/신발,기타소매업,근린생활서비스업",Y,Y,37.56757575,127.0522092,16,2914,340094,116,1,1,1,1,1,1,1,100,1,1,2,2
동서시장,서울동대문구,제기동,상설장,43,매일,농산물,Y,Y,37.57972596,127.0412215,16,2914,340094,116,1,1,1,1,1,1,1,80,2,1,2,2
서울약령시장,서울동대문구,제기동,상설장,1007,매일,"농산물,근린생활서비스",Y,Y,37.58060041,127.0375866,16,2914,340094,116,1,1,1,1,1,1,2,90,1,1,1,1
전농로터리시장,서울동대문구,전농1동,상설장,85,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.57814435,127.0570279,16,2914,340094,116,1,1,1,1,1,1,1,90,1,1,1,2
청량리농수산물시장,서울동대문구,제기동,상설장,121,매일,"농산물,축산물,수산물,근린생활서비스",Y,Y,37.58094844,127.0404057,16,2914,340094,116,1,1,1,1,1,1,1,98,1,1,1,2
청량리수산시장,서울동대문구,용신동,상설장,100,매일,수산물,Y,N,37.57807282,127.0409508,16,2914,340094,116,1,2,1,1,2,2,2,85,1,1,2,2
청량리전통시장,서울동대문구,제기동,상설장,103,매일,"농산물,축산물,수산물,가공식품",N,N,37.58088659,127.0423256,16,2914,340094,116,1,2,1,1,1,1,1,70,1,2,1,2
청량리종합시장,서울동대문구,제기동,상설장,135,매일,"농산물,수산물,가공식품,기타소매업",Y,Y,37.57933848,127.0408575,16,2914,340094,116,1,1,1,1,1,1,1,100,1,1,1,2
청량리청과물시장,서울동대문구,제기동,상설장,150,매일,농산물,Y,Y,37.57959,127.040684,16,2914,340094,116,1,1,1,1,1,1,2,50,1,1,1,2
