시장명,지자체,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
영선신시장,대구남구,대명2동,상설장,118,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.85230523,128.5929207,13,1647,122608,74,1,2,1,1,1,2,2,90,2,1,2,2
달서송림시장,대구달서구,본동,상설장,45,매일,"의류/신발,음식점업",Y,Y,35.83686121,128.5470721,23,2100,491266,233,1,1,1,1,1,1,1,40,1,1,2,2
달서시장,대구달서구,본리동,상설장,215,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.84019458,128.5442419,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,1,2
대곡시장,대구달서구,도원동,상설장,77,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.80758305,128.5354588,23,2100,491266,233,1,1,1,1,2,2,2,100,2,1,1,1
대구대동시장,대구달서구,상인2동,상설장,102,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,35.81167078,128.5377864,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,1,2
대구예전우시장,대구달서구,두류1.2동,상설장,56,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,N,35.85853624,128.5620318,23,2100,491266,233,1,2,1,1,1,2,1,90,1,1,2,2
도원시장,대구달서구,도원동,상설장,54,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.8075801,128.5367189,23,2100,491266,233,1,2,2,1,1,1,2,100,1,1,2,2
두류종합시장,대구달서구,성당동,상설장,110,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,35.84549251,128.5451423,23,2100,491266,233,1,1,1,1,1,1,2,90,1,1,2,2
보성은하상가,대구달서구,상인1동,상설장,30,매일,"가공식품,의류/신발,음식점업,기타소매업",Y,Y,35.82358281,128.5342978,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,2,1
상원시장,대구달서구,상인3동,상설장,70,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,35.80902715,128.5512851,23,2100,491266,233,1,1,1,1,2,2,2,100,2,1,1,2
상인영남상가,대구달서구,상인1동,상설장,32,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.8165179,128.5425774,23,2100,491266,233,1,1,1,1,1,1,2,100,1,1,2,1
서남시장,대구달서구,죽전동,상설장,19,매일,"수산물,가공식품,의류/신발,음식점업,기타소매업",Y,Y,35.85436693,128.5451734,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,1,2
서남신시장,대구달서구,죽전동,상설장,140,매일,"농산물,축산물,수산물,가공식품",Y,Y,35.85401333,128.5459007,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,1,2
서대구시장,대구달서구,두류1.2동,상설장,89,매일,"농산물,축산물,수산물,가공식품",Y,Y,35.86059821,128.5706868,23,2100,491266,233,1,1,1,1,2,2,2,80,1,1,2,2
성서보성화성상가,대구달서구,이곡2동,상설장,34,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,Y,35.85566367,128.5041213,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,2,1
송경종합시장,대구달서구,송현1동,상설장,78,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,35.82709695,128.5516336,23,2100,491266,233,1,2,1,1,1,2,2,80,2,1,2,2
송현주공시장(월촌역시장),대구달서구,송현1동,상설장,45,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,35.82274056,128.5481771,23,2100,491266,233,1,1,1,1,1,1,2,100,1,1,1,2
신내당시장,대구달서구,두류3동,상설장,92,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.854621,128.5538543,23,2100,491266,233,1,1,1,1,1,1,2,100,1,1,2,2
와룡시장,대구달서구,신당동,상설장,139,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.85581625,128.4993262,23,2100,491266,233,1,1,1,1,1,1,2,100,1,1,1,2
성서용산시장,대구달서구,용산2동,상설장,110,매일,"농산물,축산물,의류/신발,가정용품,기타소매업",N,Y,35.85513785,128.5213741,23,2100,491266,233,1,1,1,1,1,1,2,70,1,2,1,2
용산종합큰시장,대구달서구,용산1동,상설장,91,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,35.8580507,128.5311724,23,2100,491266,233,1,1,1,1,2,1,2,100,1,1,1,2
월배시장,대구달서구,진천동,상설장,315,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,35.81407427,128.5273978,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,1,2
월성청구시장,대구달서구,월성2동,상설장,75,매일,"가정용품,음식점업",Y,Y,35.82753061,128.5311036,23,2100,491266,233,1,1,1,1,1,1,1,100,1,1,2,1
두류신시장,대구달서구,성당동,상설장,82,매일,"농산물,축산물,가공식품,근린생활서비스업",N,N,35.84527483,128.5462249,23,2100,491266,233,1,1,1,1,1,1,1,80,1,2,2,1
논공중앙시장,대구달성군,논공읍,상설장,60,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,35.72840144,128.4465752,3,161,207671,1289,1,2,1,1,1,1,2,50,1,1,1,2
현풍백년도깨비시장,대구달성군,현풍읍,상설장+5일장,65,5일+10일,"축산물,가공식품,가정용품,음식점업,기타소매업",Y,Y,35.69476056,128.4422285,3,161,207671,1289,1,1,1,1,1,1,1,100,1,1,1,1
화원시장,대구달성군,화원읍,상설장+5일장,36,1일+6일,"농산물,축산물,수산물,음식점업,기타소매업",Y,Y,35.8012922,128.4990942,3,161,207671,1289,1,1,1,1,1,1,1,100,1,1,1,2
공항시장,대구동구,지저동,상설장,62,매일,"농산물,축산물,기타소매업",Y,Y,35.89639261,128.6382422,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,1,2
동구시장,대구동구,효목2동,상설장,123,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,N,35.87405461,128.6395728,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,1,2
동대구역전시장,대구동구,신천3동,상설장,35,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,N,35.87430058,128.6205677,10,774,276329,357,1,2,1,1,1,1,1,50,1,1,1,2
동서시장,대구동구,신암5동,상설장,82,매일,"축산물,수산물,가공식품,기타소매업",Y,N,35.88820415,128.6333701,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,1,2
목련시장,대구동구,안심1동,상설장+5일장,64,1일+6일,"축산물,가공식품,의류/신발,기타소매업",Y,N,35.86998236,128.7046611,10,774,276329,357,1,2,1,1,2,2,2,100,1,1,2,2
반야월종합시장,대구동구,안심1동,상설장,91,매일,"의류/신발,가정용품,음식점업",Y,Y,35.87240606,128.7024484,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,2,1
방촌시장,대구동구,방촌동,상설장,98,매일,"축산물,가공식품,기타소매업",Y,Y,35.88130152,128.6644272,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,1,2
불로전통시장,대구동구,안심2동,상설장+5일장,100,1일+6일,"축산물,수산물,가공식품,기타소매업",Y,Y,35.87461007,128.6889732,10,774,276329,357,1,1,1,1,1,1,1,100,1,1,1,1
송라시장,대구동구,신천1.2동,상설장,48,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,35.87448539,128.6153112,10,774,276329,357,1,2,1,1,1,1,1,50,1,1,1,2
평화시장,대구동구,신암1동,상설장,71,매일,"의류/신발,음식점업,기타소매업",Y,Y,35.88259978,128.6193995,10,774,276329,357,1,2,1,1,1,1,2,100,2,1,2,2
대구능금시장,대구북구,칠성동,상설장,136,매일,농산물,Y,Y,35.87714991,128.6019681,21,4902,367218,74,1,1,1,1,1,1,2,100,1,1,1,2
대구청과시장,대구북구,칠성동,상설장,116,매일,"농산물,축산물,가공식품",Y,Y,35.87702959,128.6039134,21,4902,367218,74,1,1,1,1,1,1,2,100,1,1,1,2
동대구시장,대구북구,대현동,상설장,83,매일,"농산물,축산물,가공식품,기타소매업",Y,Y,35.88107854,128.6090909,21,4902,367218,74,1,1,1,1,1,1,1,80,1,1,1,2
동대구신시장,대구북구,대현동,상설장,103,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,35.88219144,128.6097908,21,4902,367218,74,1,2,1,1,1,1,2,60,1,2,2,2
산격종합시장,대구북구,산격3동,상설장,300,매일,"농산물,수산물,의류/신발,기타소매업",Y,N,35.89863699,128.6103517,21,4902,367218,74,1,2,1,1,1,1,1,50,1,1,2,2
삼성시장,대구북구,칠성동,상설장,60,매일,"농산물,축산물,수산물",Y,N,35.8778191,128.6034802,21,4902,367218,74,1,2,1,1,1,1,1,100,1,1,1,2
서변중앙시장,대구북구,무태조야동,상설장+5일장,65,2일+7일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,35.92100345,128.596176,21,4902,367218,74,1,2,2,1,2,2,2,100,1,1,2,2
중앙시장,대구북구,태전1동,상설장,38,매일,"농산물,축산물,가공식품,기타소매업",Y,Y,35.92166388,128.5449078,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,1,2
칠곡시장,대구북구,읍내동,상설장+5일장,62,1일+6일,"농산물,가공식품,의류/신발,기타소매업",Y,Y,35.94252496,128.551221,21,4902,367218,74,1,1,1,1,1,1,1,90,1,1,1,1
칠성시장,대구북구,칠성동,상설장,243,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.87631033,128.605429,21,4902,367218,74,1,1,1,1,1,1,1,80,1,1,1,2
칠성진시장,대구북구,칠성동,상설장,106,매일,"수산물,가공식품,의류/신발,기타소매업",Y,Y,35.87571938,128.6040649,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,2,2
팔달신시장,대구북구,노원동,상설장,520,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.8922884,128.566322,21,4902,367218,74,1,1,1,1,1,1,1,90,1,1,1,2
산업용재관,대구북구,산격2동,상설장,1062,매일,근린생활서비스,Y,Y,35.90496577,128.6063956,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,2,1
섬유제품관,대구북구,산격2동,상설장,146,매일,음식점업,Y,Y,35.90627923,128.6096611,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,2,1
전기재료관,대구북구,산격2동,상설장,141,매일,근린생활서비스,Y,Y,35.9050606,128.6077132,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,2,1
전기조명관,대구북구,산격2동,상설장,83,매일,근린생활서비스,Y,Y,35.90569603,128.6082752,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,2,1
전자관,대구북구,산격2동,상설장,1011,매일,음식점업,Y,Y,35.90720316,128.6070187,21,4902,367218,74,1,1,1,1,1,1,1,100,1,1,1,1
전자상가,대구북구,산격2동,상설장,369,매일,"음식점업,근린생활서비스",Y,Y,35.90545705,128.604982,21,4902,367218,74,1,1,1,1,1,1,1,50,1,1,1,1
칠성본시장,대구북구,칠성동,상설장,78,매일,"축산물,수산물,가공식품",N,Y,35.87551494,128.60438,21,4902,367218,74,1,2,1,1,1,1,2,100,1,2,2,2
칠성전자주방시장,대구북구,칠성동,상설장,110,매일,음식점업,Y,Y,35.88023367,128.6015513,21,4902,367218,74,1,2,1,1,2,2,2,90,1,1,2,2
대평리시장,대구서구,평리3동,상설장,75,매일,"농산물,수산물,가공식품,의류/신발,기타소매업",Y,Y,35.87801117,128.5589346,9,801,145108,181,1,2,1,1,1,2,2,80,2,1,2,2
새길시장,대구서구,내당2.3동,상설장,69,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,35.86503889,128.5715679,9,801,145108,181,1,2,1,1,1,1,1,100,2,1,2,2
서구시장,대구서구,평리3동,상설장,65,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,N,35.87393762,128.5556896,9,801,145108,181,1,2,1,1,1,1,1,90,1,1,1,2
서부시장,대구서구,비산2.3동,상설장,135,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.87330956,128.5720469,9,801,145108,181,1,1,1,1,1,1,1,99,1,1,1,2
신평리시장,대구서구,평리4동,상설장,140,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.86809861,128.5606859,9,801,145108,181,1,1,1,1,1,1,1,80,1,1,1,2
원고개시장,대구서구,비산1동,상설장,127,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.88028036,128.5682981,9,801,145108,181,1,1,1,1,1,1,1,100,1,1,1,2
원대신시장,대구서구,원대동,상설장,59,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.88553463,128.5748006,9,801,145108,181,1,2,1,1,1,1,2,100,1,1,1,2
이현시장,대구서구,평리6동,상설장,54,매일,"농산물,가공식품,근린생활서비스업",Y,N,35.87695054,128.5506362,9,801,145108,181,1,2,1,1,1,1,2,100,1,1,2,2
중평시장,대구서구,평리4동,상설장,77,매일,"농산물,가공식품,의류/신발",Y,N,35.86537086,128.5539071,9,801,145108,181,1,1,1,1,1,1,2,30,1,1,2,2
동성시장,대구수성구,수성2.3가동,상설장,99,매일,"농산물,축산물,가공식품,기타소매업",Y,N,35.85565852,128.6169564,7,584,343687,588,1,2,1,1,2,2,2,100,1,1,2,2
수성시장,대구수성구,수성2.3가동,상설장,98,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,35.85565487,128.6170064,7,584,343687,588,1,1,1,1,2,2,2,100,1,1,2,2
신매시장,대구수성구,고산1동,상설장,178,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,35.83727992,128.7097215,7,584,343687,588,1,2,1,1,2,1,2,100,2,1,2,2
지산목련시장(지산종합시장),대구수성구,지산2동,상설장,58,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.82079684,128.631863,7,584,343687,588,1,1,1,1,1,1,1,70,1,1,1,2
청구시장,대구수성구,만촌2동,상설장,60,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,35.86484933,128.6442063,7,584,343687,588,1,1,1,1,1,1,1,100,2,1,2,2
태백시장,대구수성구,수성2.3가동,상설장,61,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.85518807,128.616759,7,584,343687,588,1,1,1,1,2,2,2,100,1,1,1,2
황금시장,대구수성구,황금2동,상설장,30,매일,"농산물,가공식품,의류/신발,기타소매업",Y,Y,35.84839977,128.6199562,7,584,343687,588,1,1,1,1,1,1,1,50,1,1,2,2
교동시장,대구중구,성내1동,상설장,147,매일,"의류/신발,가정용품,음식점업,기타소매업",Y,Y,35.87370057,128.598366,15,5682,66474,11,1,2,1,1,1,1,1,10,1,1,1,2
남문시장,대구중구,남산1동,상설장,240,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.86108085,128.591983,15,5682,66474,11,1,2,1,1,1,1,2,100,2,1,2,2
동산상가,대구중구,대신동,상설장,816,매일,"의류/신발,가정용품,음식점업",Y,Y,35.86895466,128.5817199,15,5682,66474,11,1,1,1,1,1,1,1,100,1,1,1,2
명품프라자상가,대구중구,대신동,상설장,213,매일,"의류/신발,가정용품,음식점업",Y,Y,35.86990817,128.5809042,15,5682,66474,11,1,1,1,1,1,1,1,100,1,1,1,1
방천시장,대구중구,대봉1동,상설장,70,매일,"농산물,기타소매업",Y,N,35.86223722,128.6059327,15,5682,66474,11,1,1,1,1,2,2,2,100,1,1,1,2
번개시장,대구중구,성내1동,상설장,120,매일,"농산물,축산물,가공식품",Y,Y,35.87508929,128.5981311,15,5682,66474,11,1,1,1,1,1,1,2,98,1,1,2,1
서문시장2지구종합상가,대구중구,대신동,상설장,1518,매일,"수산물,의류/신발,음식점업,기타소매업,근린생활서비스",Y,Y,35.86881467,128.5795313,15,5682,66474,11,1,1,1,1,1,1,1,100,1,1,1,1
서문시장5지구,대구중구,대신동,상설장,237,매일,"농산물,의류/신발,가정용품,기타소매업,근린생활서비스",Y,Y,35.868085,128.5784635,15,5682,66474,11,1,1,1,1,1,1,1,90,1,1,1,2
서문시장건해산물상가,대구중구,대신동,상설장,100,매일,"농산물,수산물",Y,Y,35.8681429,128.5794878,15,5682,66474,11,1,2,1,1,1,1,1,100,1,1,1,2
서문시장제1지구직물시장,대구중구,대신동,상설장,196,매일,"의류/신발,음식점업",Y,Y,35.86939386,128.5798314,15,5682,66474,11,1,1,1,1,1,1,1,30,1,1,1,2
서문시장제1지구포목시장,대구중구,대신동,상설장,286,매일,"의류/신발,음식점업",Y,Y,35.86939386,128.5798314,15,5682,66474,11,1,1,1,1,1,1,1,30,1,1,1,2
약령시장,대구중구,성내2동,상설장,215,매일,근린생활서비스,Y,N,35.86812682,128.5899204,15,5682,66474,11,1,1,1,1,1,1,2,100,1,1,1,2
염매시장,대구중구,성내2동,상설장,71,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,35.86686804,128.5916802,15,5682,66474,11,1,2,1,1,1,2,2,100,1,1,1,2
서문시장4지구종합대체상가(베네시움),대구중구,성내2동,상설장,1220,매일,"의류/신발,음식점업",Y,Y,35.86673048,128.5827232,15,5682,66474,11,1,1,1,1,1,1,1,0,1,1,1,1
강화중앙시장(a동b동),인천강화군,강화읍,상설장,126,매일,"농산물,축산물,수산물,가공식품,가정용품",Y,Y,37.74693259,126.4839146,3,402,49024,121,1,1,1,1,1,1,1,10,1,1,2,2
강화터미널상가,인천강화군,강화읍,상설장,93,매일,"음식점업,기타소매업",Y,Y,37.73977668,126.4904067,3,402,49024,121,1,1,1,1,1,1,1,70,1,1,2,1
강화풍물시장,인천강화군,강화읍,상설장+5일장,183,2일+7일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.74142155,126.4928692,3,402,49024,121,1,1,1,1,1,1,1,100,1,1,2,1
계산시장,인천계양구,계산1동,상설장,119,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3,363,229796,633,1,1,1,1,1,1,1,100,1,1,1,2
계양산전통시장,인천계양구,계양2동,상설장,124,매일,"농산물,수산물,의류/신발,음식점업,기타소매업",Y,Y,37.54845862,126.7392428,3,363,229796,633,1,1,1,1,1,1,1,98,1,1,1,2
작전시장,인천계양구,작전2동,상설장,120,매일,"농산물,축산물,가공식품,음식점업,기타소매업",Y,Y,37.53248718,126.724325,3,363,229796,633,1,2,1,1,1,1,1,99,2,1,1,2
석바위시장,인천미추홀구,주안6동,상설장,172,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.45917121,126.6916171,7,927,356193,384,1,1,1,1,1,1,1,100,1,1,1,2
신기시장,인천미추홀구,주안7동,상설장,130,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.44689806,126.6782819,7,927,356193,384,1,2,1,1,1,1,1,100,1,1,1,1
용현시장,인천미추홀구,용현3동,상설장,237,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.45756117,126.6503744,7,927,356193,384,1,1,1,1,1,1,1,80,1,1,1,2
인천남부종합시장,인천미추홀구,주안7동,상설장,123,매일,"농산물,수산물,가공식품,음식점업,기타소매업",Y,Y,37.44737537,126.6783959,7,927,356193,384,1,1,1,1,1,1,1,70,1,1,1,2
인천용남시장,인천미추홀구,용현1.4동,상설장,60,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.45189805,126.6658494,7,927,356193,384,1,1,1,1,1,1,1,70,1,1,1,2
토지금고시장,인천미추홀구,용현5동,상설장,118,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.45154989,126.6378022,7,927,356193,384,1,1,1,1,1,1,1,100,1,1,1,2
학익시장,인천미추홀구,학익2동,상설장,87,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.44351498,126.6649652,7,927,356193,384,1,1,1,1,1,1,2,80,1,1,1,2
간석자유시장,인천남동구,간석3동,상설장,138,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,37.46388365,126.7153431,8,1694,430153,253,1,1,1,1,1,1,1,100,1,1,1,2
구월도매전통시장,인천남동구,구월3동,상설장,77,매일,"농산물,축산물,수산물,가공식품",N,Y,37.44324579,126.7052205,8,1694,430153,253,1,2,1,1,2,2,2,98,1,2,2,2
구월시장,인천남동구,구월4동,상설장,145,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.4528675,126.7204956,8,1694,430153,253,1,1,1,1,1,1,1,100,1,1,1,2
만수시장,인천남동구,만수2동,상설장,68,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.45998255,126.732151,8,1694,430153,253,1,2,1,1,1,1,2,1,1,1,2,2
인천모래내전통시장,인천남동구,구월4동,상설장,216,매일,"농산물,축산물,수산물,의류/신발,음식점업",Y,Y,37.45383617,126.7213345,8,1694,430153,253,1,1,1,1,1,1,1,100,1,1,1,1
장승백이전통시장,인천남동구,만수6동,상설장,95,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.44657696,126.7351116,8,1694,430153,253,1,1,1,1,1,1,1,70,1,1,1,2
동부시장,인천동구,송림6동,상설장,54,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.47699808,126.6452481,8,5976,50655,8,1,1,1,1,1,1,1,100,1,1,1,2
동부시장,인천동구,송림6동,상설장,279,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.47748725,126.6461237,8,5976,50655,8,1,1,1,1,1,1,1,100,1,1,1,2
송림공구상가,인천동구,송림4동,상설장,326,매일,근린생활서비스,Y,Y,37.4835908,126.6622109,8,5976,50655,8,1,1,1,1,1,1,2,99,1,1,2,1
송현시장,인천동구,송현1.2동,상설장,103,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.47616144,126.6346428,8,5976,50655,8,1,1,1,1,1,1,1,89,1,1,1,2
인천산업유통사업협동조합,인천동구,송림4동,상설장,4735,매일,근린생활서비스,Y,Y,37.48482772,126.654796,8,5976,50655,8,1,1,1,1,1,1,1,100,1,1,1,1
중앙시장,인천동구,송현1.2동,상설장,103,매일,의류/신발,N,Y,37.47535282,126.6333451,8,5976,50655,8,1,1,1,1,1,1,2,100,1,2,2,2
현대시장,인천동구,송림6동,상설장,285,매일,"수산물,가공식품,의류/신발,가정용품,기타소매업",Y,Y,37.47748725,126.6461237,8,5976,50655,8,1,1,1,1,1,1,1,30,1,1,1,2
일신시장(부일종합시장),인천부평구,일신동,상설장,79,매일,"농산물,축산물,가공식품,의류/신발,음식점업",Y,Y,37.48472019,126.7432795,6,796,430116,540,,,,,,,,,,,,
부평깡시장,인천부평구,부평4동,상설장,150,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49788794,126.726541,6,796,430116,540,1,2,1,1,1,1,2,70,1,1,1,2
부평문화의거리,인천부평구,부평5동,상설장,210,매일,"가공식품,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.49408196,126.7250051,6,796,430116,540,1,1,1,1,2,1,2,100,1,1,1,2
부평종합시장,인천부평구,부평4동,상설장,200,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49649796,126.7266188,6,796,430116,540,1,1,1,1,1,1,2,100,1,1,1,2
십정종합시장(열우물전통시장),인천부평구,십정1동,상설장,75,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.47330312,126.6956685,6,796,430116,540,,,,,,,,,,,,
진흥종합시장,인천부평구,부평4동,상설장,82,매일,"농산물,축산물,수산물,음식점업",Y,Y,37.49694725,126.725706,6,796,430116,540,1,1,1,1,1,1,1,100,1,1,1,2
가좌시장,인천서구,가좌2동,상설장,123,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,37.49413933,126.6833977,5,608,451980,743,1,1,1,1,1,1,1,100,1,1,1,2
신거북시장,인천서구,석남2동,상설장,120,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.50328579,126.6729889,5,608,451980,743,1,1,1,1,1,1,2,100,1,1,2,2
인천강남시장,인천서구,석남1동,상설장,117,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.51122131,126.6719954,5,608,451980,743,1,1,1,1,1,1,1,100,1,1,1,2
인천축산물시장,인천서구,가좌4동,상설장,117,매일,"축산물,수산물,기타소매업",Y,Y,37.47899257,126.6884571,5,608,451980,743,1,1,1,1,1,1,2,80,1,1,2,2
정서진중앙시장,인천서구,가정1동,상설장,131,매일,"농산물,축산물,수산물,의류/신발,가정용품",Y,Y,37.51857192,126.675938,5,608,451980,743,1,1,1,1,1,1,1,100,1,1,1,2
연수구옥련시장,인천연수구,옥련2동,상설장,300,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,N,37.42462185,126.64683,2,406,327612,806,1,1,1,1,1,1,1,100,1,2,1,2
연수송도역전시장,인천연수구,옥련1동,상설장,106,매일,"농산물,축산물,수산물,음식점업",Y,N,37.42645754,126.6576942,2,406,327612,806,1,1,1,1,1,1,1,95,2,1,1,2
신포시장,인천중구,신포동,상설장,151,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3,722,123617,171,1,1,1,1,1,1,1,90,1,1,1,2
신포시장,인천중구,신포동,상설장,151,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3,722,123617,171,1,1,1,1,1,1,1,80,1,1,2,2
신흥시장,인천중구,신흥동,상설장,66,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.46606007,126.636624,3,722,123617,171,1,2,1,1,1,1,1,100,1,1,1,2
인천종합어시장,인천중구,연안동,상설장,505,매일,"수산물,기타소매업,근린생활서비스",Y,Y,37.45413649,126.6071645,3,722,123617,171,1,1,1,1,1,1,1,90,1,1,1,2
1913송정역시장(송정역전매일시장),광주광산구,송정2동,상설장,72,매일,"농산물,가공식품,의류/신발,음식점업,기타소매업",Y,Y,35.13556354,126.7915343,6,351,348277,992,1,2,1,1,1,1,2,100,1,1,2,2
비아5일시장,광주광산구,비아동,5일장,52,1일+6일,"농산물,축산물,수산물,의류/신발,음식점업",Y,Y,35.22135768,126.8252661,6,351,348277,992,1,1,1,1,1,1,2,90,1,1,1,2
송정5일시장,광주광산구,송정2동,5일장,110,3일+8일,"농산물,수산물,의류/신발,가정용품,기타소매업",Y,Y,35.13707956,126.7969059,6,351,348277,992,1,2,1,1,1,1,2,100,1,1,1,2
송정매일시장,광주광산구,송정2동,상설장,31,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,35.13744947,126.7968447,6,351,348277,992,1,1,1,1,1,1,1,100,1,1,1,2
우산매일시장,광주광산구,우산동,상설장,43,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.16524813,126.8014856,6,351,348277,992,1,2,1,1,1,1,2,100,2,1,2,2
월곡시장,광주광산구,월곡1동,상설장,43,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.17129717,126.8096478,6,351,348277,992,1,1,1,1,1,1,1,100,1,1,2,2
무등시장,광주남구,주월2동,상설장,65,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.13592608,126.8945422,2,129,164770,1277,1,1,1,1,1,1,1,100,1,1,1,2
봉선시장,광주남구,봉선1동,상설장,64,매일,"농산물,축산물,수산물,가공식품",Y,Y,35.12905105,126.9100024,2,129,164770,1277,1,2,1,1,1,1,2,100,1,1,1,2
