,지자체,시장명,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률
703,경기평택시,서정리시장,법적단체,97,100,0.97
704,경기평택시,송탄시장,법적단체,136,136,1
705,경기평택시,안중시장,법적단체,117,130,0.9
706,경기평택시,중앙시장,법적단체,117,150,0.78
707,경기평택시,통복시장,법적단체,567,587,0.96592845
708,경기포천시,운천전통시장,임의단체,23,50,0.46
709,경기포천시,일동전통시장,법적단체,26,36,0.722222222
710,경기하남시,덕풍전통시장,법적단체,136,140,0.971428571
711,경기하남시,신장전통시장,법적단체,79,79,1
712,경기화성시,남양시장,법적단체,195,202,0.965346535
713,경기화성시,발안시장,법적단체,160,221,0.7239819
714,경기화성시,사강시장,법적단체,260,352,0.738636364
715,경기화성시,조암시장,법적단체,250,410,0.609756098
716,강원강릉시,강릉동부시장,법적단체,72,168,0.428571429
717,강원강릉시,강릉서부시장,법적단체,53,154,0.344155844
718,강원강릉시,강릉성남시장,법적단체,116,126,0.920634921
719,강원강릉시,주문진건어물시장,법적단체,91,98,0.928571429
720,강원강릉시,주문진수산시장,법적단체,52,53,0.981132075
721,강원강릉시,주문진종합시장,법적단체,58,63,0.920634921
722,강원강릉시,중앙시장,법적단체,192,203,0.945812808
723,강원고성군,간성전통시장(천년고성시장),법적단체,75,84,0.892857143
724,강원고성군,거진시장,법적단체,51,53,0.962264151
725,강원동해시,동쪽바다중앙시장,법적단체,175,200,0.875
726,강원동해시,동해남부재래시장,법적단체,160,208,0.769230769
727,강원동해시,묵호시장,법적단체,67,157,0.426751592
728,강원동해시,북평민속시장,법적단체,60,140,0.428571429
729,강원삼척시,도계전두시장,법적단체,33,46,0.717391304
730,강원삼척시,도계중앙시장,법적단체,6,30,0.2
731,강원삼척시,삼척번개시장,법적단체,34,36,0.944444444
732,강원삼척시,삼척중앙시장,법적단체,239,261,0.915708812
733,강원속초시,속초종합중앙시장,법적단체,250,268,0.932835821
734,강원속초시,속초관광수산시장(구 속초중앙전통시장),법적단체,298,350,0.851428571
735,강원양구군,양구중앙시장,법적단체,55,57,0.964912281
736,강원양양군,양양전통시장,법적단체,66,68,0.970588235
