시장명,지자체,시도명,시군구명,시군구명_원본,행정동코드,행정동명,도로명주소코드,도로명주소명,우편번호,격자코드,위치경도,위치위도
우림시장,서울관악구,서울,관악구,관악구,1162077500,난곡동,1.16E+11,서울 관악구 난곡로26길 4,8856,다사487413,126.9204441,37.47029785
인헌시장,서울관악구,서울,관악구,관악구,1162062500,인헌동,1.16E+11,서울 관악구 남부순환로246나길 14,8793,다사526418,126.9647704,37.47486164
펭귄시장,서울관악구,서울,관악구,관악구,1162072500,조원동,1.16E+11,서울 관악구 조원로16길 27,8767,다사479428,126.9114212,37.48314523
광성시장,서울광진구,서울,광진구,광진구,1121574000,중곡1동,1.12E+11,서울 광진구 능동로47길 30,4910,다사630516,127.0811202,37.5635863
노룬산골목시장(인정시장),서울광진구,서울,광진구,광진구,1121583000,자양2동,1.12E+11,서울 광진구 자양로 44-6,5112,다사634481,127.0862392,37.53218252
노룬산시장(건물형),서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 뚝섬로 491,5080,다사615486,127.0648775,37.5364854
능동로골목시장,서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 뚝섬로30길 23,5085,다사617485,127.0666557,37.53514507
신성종합시장(건물형),서울광진구,서울,광진구,광진구,1121577000,중곡4동,1.12E+11,서울 광진구 용마산로 50,4949,다사636510,127.0880508,37.5580803
영동교골목시장,서울광진구,서울,광진구,광진구,1121584700,자양4동,1.12E+11,서울 광진구 동일로10길 47,5078,다사614487,127.0642052,37.53752561
자양전통시장,서울광진구,서울,광진구,광진구,1121582000,자양1동,1.12E+11,서울 광진구 자양로15길 69,5057,다사628484,127.0798018,37.53495924
중곡제일전통시장(중곡제일시장),서울광진구,서울,광진구,광진구,1121574000,중곡1동,1.12E+11,서울 광진구 긴고랑로11길 14,4909,다사630516,127.0817652,37.56388274
화양제일골목시장,서울광진구,서울,광진구,광진구,1121571000,화양동,1.12E+11,서울 광진구 아차산로29길 59,5016,다사619494,127.0692921,37.54349132
가리봉시장,서울구로구,서울,구로구,구로구,1153059500,가리봉동,1.15E+11,서울 구로구 우마3길 15,8387,다사459426,126.8890779,37.48167727
개봉중앙시장,서울구로구,서울,구로구,구로구,1153075000,개봉2동,1.15E+11,서울 구로구 개봉로17길 34,8337,다사429438,126.8540716,37.49178393
개봉프라자,서울구로구,서울,구로구,구로구,1153073000,고척2동,1.15E+11,서울 구로구 고척로40길 19,8234,다사426449,126.8511199,37.50195711
고척근린시장,서울구로구,서울,구로구,구로구,1153073000,고척2동,1.15E+11,서울 구로구 고척로40길 19,8234,다사426449,126.8511199,37.50195711
구로시장,서울구로구,서울,구로구,구로구,1153055000,구로4동,1.15E+11,서울 구로구 구로동로22길 17-4,8311,다사456435,126.8856198,37.48963005
남구로시장,서울구로구,서울,구로구,구로구,1153053000,구로2동,1.15E+11,서울 구로구 구로동로26길 41,8311,다사457436,126.8864324,37.49020847
남문시장,서울금천구,서울,금천구,금천구,1154563000,독산3동,1.15E+11,서울 금천구 시흥대로144길 17,8544,다사469417,126.9004225,37.47375823
은행나무시장,서울금천구,서울,금천구,금천구,1154571000,시흥5동,1.15E+11,서울 금천구 금하로25길 9,8574,다사477392,126.9093491,37.45131824
비단길현대시장,서울금천구,서울,금천구,금천구,1154567000,시흥1동,1.15E+11,서울 금천구 독산로27길 52,8625,다사473400,126.9048774,37.45772651
공릉동도깨비시장,서울노원구,서울,노원구,노원구,1135059500,공릉1동,1.14E+11,서울 노원구 동일로180길 37,1845,다사626582,127.0762493,37.62269037
방학동도깨비시장,서울도봉구,서울,도봉구,도봉구,1132070000,방학2동,1.13E+11,서울 도봉구 도당로13가길 17,1355,다사590630,127.0362062,37.66594127
백운시장,서울도봉구,서울,도봉구,도봉구,1132066000,쌍문1동,1.13E+11,서울 도봉구 삼양로154길 30,1367,다사572618,127.0148849,37.65549577
쌍문시장,서울도봉구,서울,도봉구,도봉구,1132068000,쌍문3동,1.13E+11,서울 도봉구 도봉로113길 20,1443,다사588610,127.032968,37.6483674
