시장명,지자체,시도명,시군구명,행정동코드,행정동명,위치경도,위치위도,인구수,시군구시장수,시군구상점수,시설인구수,시장유형명,시장운영기간,화장실존재여부,주차장존재여부
영동교골목시장,서울광진구,서울,광진구,1121584700,자양4동,127.0642052,37.53752561,334706,12,802,417,상설장,매일,Y,Y
자양전통시장,서울광진구,서울,광진구,1121582000,자양1동,127.0798018,37.53495924,334706,12,802,417,상설장,매일,Y,Y
중곡제일전통시장(중곡제일시장),서울광진구,서울,광진구,1121574000,중곡1동,127.0817652,37.56388274,334706,12,802,417,상설장,매일,Y,Y
화양제일골목시장,서울광진구,서울,광진구,1121571000,화양동,127.0692921,37.54349132,334706,12,802,417,상설장,매일,N,Y
가리봉시장,서울구로구,서울,구로구,1153059500,가리봉동,126.8890779,37.48167727,414604,7,664,624,상설장,매일,Y,N
개봉중앙시장,서울구로구,서울,구로구,1153075000,개봉2동,126.8540716,37.49178393,414604,7,664,624,상설장,매일,Y,N
개봉프라자,서울구로구,서울,구로구,1153073000,고척2동,126.8511199,37.50195711,414604,7,664,624,상설장,매일,Y,Y
고척근린시장,서울구로구,서울,구로구,1153073000,고척2동,126.8511199,37.50195711,414604,7,664,624,상설장,매일,Y,Y
구로시장,서울구로구,서울,구로구,1153055000,구로4동,126.8856198,37.48963005,414604,7,664,624,상설장,매일,Y,N
남구로시장,서울구로구,서울,구로구,1153053000,구로2동,126.8864324,37.49020847,414604,7,664,624,상설장,매일,Y,Y
남문시장,서울금천구,서울,금천구,1154563000,독산3동,126.9004225,37.47375823,244237,4,636,384,상설장,매일,Y,Y
은행나무시장,서울금천구,서울,금천구,1154571000,시흥5동,126.9093491,37.45131824,244237,4,636,384,상설장,매일,N,Y
비단길현대시장,서울금천구,서울,금천구,1154567000,시흥1동,126.9048774,37.45772651,244237,4,636,384,상설장,매일,Y,Y
공릉동도깨비시장,서울노원구,서울,노원구,1135059500,공릉1동,127.0762493,37.62269037,429221,2,170,2524,상설장,매일,N,Y
방학동도깨비시장,서울도봉구,서울,도봉구,1132070000,방학2동,127.0362062,37.66594127,263122,6,402,654,상설장,매일,Y,Y
백운시장,서울도봉구,서울,도봉구,1132066000,쌍문1동,127.0148849,37.65549577,263122,6,402,654,상설장,매일,N,N
쌍문시장,서울도봉구,서울,도봉구,1132068000,쌍문3동,127.032968,37.6483674,263122,6,402,654,상설장,매일,N,N
창동골목시장,서울도봉구,서울,도봉구,1132051300,창3동,127.0391454,37.63840117,263122,6,402,654,상설장,매일,Y,N
창동신창시장,서울도봉구,서울,도봉구,1132051200,창2동,127.0374555,37.63943514,263122,6,402,654,상설장,매일,Y,Y
경동광성상가,서울동대문구,서울,동대문구,1123054500,제기동,127.0388095,37.58099105,340094,16,2914,116,상설장,매일,Y,N
경동시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0396587,37.57878423,340094,16,2914,116,상설장,매일,Y,Y
답십리시장,서울동대문구,서울,동대문구,1123061000,답십리2동,127.0580659,37.57319423,340094,16,2914,116,상설장,매일,Y,N
답십리현대시장,서울동대문구,서울,동대문구,1123061000,답십리2동,127.0586488,37.5667821,340094,16,2914,116,상설장,매일,Y,Y
동부시장,서울동대문구,서울,동대문구,1123060000,답십리1동,127.0522092,37.56757575,340094,16,2914,116,상설장,매일,Y,Y
동서시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0412215,37.57972596,340094,16,2914,116,상설장,매일,Y,Y
서울약령시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0375866,37.58060041,340094,16,2914,116,상설장,매일,Y,Y
전농로터리시장,서울동대문구,서울,동대문구,1123056000,전농1동,127.0570279,37.57814435,340094,16,2914,116,상설장,매일,Y,N
청량리농수산물시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0404057,37.58094844,340094,16,2914,116,상설장,매일,Y,Y
청량리수산시장,서울동대문구,서울,동대문구,1123053600,용신동,127.0409508,37.57807282,340094,16,2914,116,상설장,매일,Y,N
청량리전통시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0423256,37.58088659,340094,16,2914,116,상설장,매일,N,N
청량리종합시장,서울동대문구,서울,동대문구,1123054500,제기동,127.0408575,37.57933848,340094,16,2914,116,상설장,매일,Y,Y
청량리청과물시장,서울동대문구,서울,동대문구,1123054500,제기동,127.040684,37.57959,340094,16,2914,116,상설장,매일,Y,Y
청량종합도매시장(깡통시장),서울동대문구,서울,동대문구,1123054500,제기동,127.0403105,37.58190857,340094,16,2914,116,상설장,매일,Y,Y
회기시장,서울동대문구,서울,동대문구,1123071000,회기동,127.0549791,37.59097015,340094,16,2914,116,상설장,매일,Y,Y
강남시장,서울동작구,서울,동작구,1159053000,상도1동,126.9535408,37.49693976,363808,8,529,687,상설장,매일,Y,Y
남성시장,서울동작구,서울,동작구,1159063000,사당2동,126.9815648,37.48816011,363808,8,529,687,상설장,매일,Y,Y
