사업명,지원연도,시장명,지원금액(단위_백만원),지자체
문화관광형시장,2014,남해전통시장,1160.0,경남남해군
문화관광형시장,2021,밤고개자연시장(구 내덕자연시장),220.0,충북청주시
첫걸음기반조성,2019,밤고개자연시장(구 내덕자연시장),260.0,충북청주시
문화관광형시장,2022,내토전통시장,176.0,충북제천시
문화관광형시장,2021,단양구경시장(단양인정시장),180.0,충북단양군
디지털전통시장,2023,단양구경시장(단양인정시장),92.5,충북단양군
첫걸음기반조성,2020,당감새시장,168.0,부산부산진구
디지털전통시장,2022,당진전통시장,125.0,충남당진시
문화관광형시장,2017,당진전통시장,1700.0,충남당진시
문화관광형시장,2021,당진전통시장,200.0,충남당진시
문화관광형시장,2017,대림중앙시장,1540.0,서울영등포구
첫걸음기반조성,2022,대송농수산물시장,162.0,울산동구
문화관광형시장,2021,역전지하상가,276.0,대전동구
문화관광형시장,2022,역전지하상가,240.0,대전동구
첫걸음기반조성,2023,대천항종합수산물시장,130.0,충남보령시
문화관광형시장,2019,창원도계부부시장,460.0,경남창원시
디지털전통시장,2023,도리섬상점가,87.5,경기안산시
문화관광형시장,2021,도리섬상점가,180.0,경기안산시
첫걸음기반조성,2019,도리섬상점가,280.0,경기안산시
디지털전통시장,2023,도마큰시장,87.5,대전서구
문화관광형시장,2016,도마큰시장,1540.0,대전서구
문화관광형시장,2019,도마큰시장,480.0,대전서구
첫걸음기반조성,2020,도일시장,108.0,경기시흥시
문화관광형시장,2014,돈암시장,1480.0,서울성북구
첫걸음기반조성,2023,동대구신시장,153.0,대구북구
문화관광형시장,2015,중랑동부시장(동부골목시장),1560.0,서울중랑구
문화관광형시장,2019,중랑동부시장(동부골목시장),460.0,서울중랑구
청년몰활성화,2020,김해전통시장(김해동상시장),150.0,경남김해시
청년몰활성화,2019,뚝도시장,150.0,서울성동구
문화관광형시장,2019,뚝섬역상점가,440.0,서울성동구
첫걸음기반조성,2022,루원음식문화거리,162.0,인천서구
문화관광형시장,2016,르네시떼시장,1620.0,부산사상구
문화관광형시장,2021,르네시떼시장,264.0,부산사상구
문화관광형시장,2023,마산어시장,220.0,경남창원시
첫걸음기반조성,2019,마산어시장,300.0,경남창원시
문화관광형시장,2016,마장축산물시장,1620.0,서울성동구
문화관광형시장,2017,말바우시장,1580.0,광주북구
문화관광형시장,2021,말바우시장,300.0,광주북구
문화관광형시장,2022,말바우시장,228.0,광주북구
디지털전통시장,2022,망미중앙시장,75.0,부산수영구
첫걸음기반조성,2021,망원동월드컵시장,135.0,서울마포구
문화관광형시장,2017,망원시장,1540.0,서울마포구
디지털전통시장,2022,서귀포매일올레시장,100.0,제주서귀포시
첫걸음기반조성,2018,명동대흥로상점가,270.0,충남천안시
문화관광형시장,2021,명동상점가,225.0,충남홍성군
문화관광형시장,2019,명산시장,440.0,전북군산시
문화관광형시장,2021,명서시장,235.0,경남창원시
디지털전통시장,2023,명일전통시장,87.5,서울강동구
문화관광형시장,2015,인천모래내전통시장,1480.0,인천남동구
문화관광형시장,2018,모래내시장(전주),860.0,전북전주시
문화관광형시장,2019,인천모래내전통시장,460.0,인천남동구
문화관광형시장,2021,목사랑시장 (목4동시장),220.0,서울양천구
문화관광형시장,2022,목사랑시장 (목4동시장),225.0,서울양천구
문화관광형시장,2021,못골종합시장,276.0,경기수원시
문화관광형시장,2022,못골종합시장,240.0,경기수원시
문화관광형시장,2021,무극시장,230.0,충북음성군
문화관광형시장,2022,무극시장,190.0,충북음성군
첫걸음기반조성,2022,무등산상가거리상점가,162.0,광주동구
문화관광형시장,2018,무등시장,860.0,광주남구
문화관광형시장,2021,무등시장,282.0,광주남구
첫걸음기반조성,2023,무안전통시장,153.0,전남무안군
문화관광형시장,2022,무주시장(반딧불장터),176.0,전북무주군
문화관광형시장,2021,무주시장(반딧불장터),200.0,전북무주군
문화관광형시장,2023,문경전통시장,210.0,경북문경시
첫걸음기반조성,2020,문경전통시장,108.0,경북문경시
디지털전통시장,2022,문경중앙시장,125.0,경북문경시
문화관광형시장,2019,문경중앙시장,460.0,경북문경시
첫걸음기반조성,2018,문경중앙시장,270.0,경북문경시
청년몰활성화,2018,문경중앙시장,150.0,경북문경시
문화관광형시장,2017,문산자유시장,1480.0,경기파주시
첫걸음기반조성,2023,문창전통시장,156.0,대전중구
청년몰활성화,2022,미로예술원주중앙시장(원주중앙시장),250.0,강원원주시
문화관광형시장,2022,민락골목시장,264.0,부산수영구
문화관광형시장,2021,민락골목시장,264.0,부산수영구
문화관광형시장,2021,연무시장,180.0,경기수원시
문화관광형시장,2021,반송큰시장(반송2동시장),270.0,부산해운대구
문화관광형시장,2023,방신전통시장,252.0,서울강서구
첫걸음기반조성,2023,방천시장,153.0,대구중구
첫걸음기반조성,2018,방촌시장,270.0,대구동구
디지털전통시장,2023,방학동도깨비시장,87.5,서울도봉구
문화관광형시장,2019,방학동도깨비시장,440.0,서울도봉구
첫걸음기반조성,2022,배방상점가,140.0,충남아산시
문화관광형시장,2022,보령중앙시장,220.0,충남보령시
문화관광형시장,2014,보령중앙시장,1700.0,충남보령시
문화관광형시장,2018,보령중앙시장,860.0,충남보령시
문화관광형시장,2015,결초보은시장(구 보은종합시장),1520.0,충북보은군
문화관광형시장,2021,결초보은시장(구 보은종합시장),220.0,충북보은군
첫걸음기반조성,2018,결초보은시장(구 보은종합시장),270.0,충북보은군
문화관광형시장,2019,복대가경시장,440.0,충북청주시
첫걸음기반조성,2018,복대가경시장,270.0,충북청주시
문화관광형시장,2022,봉곡민속체험시장(봉곡시장),230.0,경남창원시
문화관광형시장,2019,봉동시장,440.0,전북완주군
문화관광형시장,2017,영도봉래시장,1540.0,부산영도구
문화관광형시장,2022,봉선시장,264.0,광주남구
문화관광형시장,2017,봉선시장,1740.0,광주남구
첫걸음기반조성,2023,봉천제일종합시장,153.0,서울관악구
문화관광형시장,2015,봉평전통시장(봉평시장),1520.0,강원평창군
문화관광형시장,2022,봉평전통시장(봉평시장),176.0,강원평창군
문화관광형시장,2021,봉평전통시장(봉평시장),220.0,강원평창군
첫걸음기반조성,2022,봉화내성시장,108.0,경북봉화군
문화관광형시장,2015,봉화춘양시장(춘양시장),1560.0,경북봉화군
문화관광형시장,2023,봉화춘양시장(춘양시장),220.0,경북봉화군
문화관광형시장,2023,부곡도깨비시장,210.0,경기의왕시
첫걸음기반조성,2018,부산남문시장,270.0,부산동구
문화관광형시장,2017,부산새벽시장,1540.0,부산사상구
문화관광형시장,2023,부산진시장,276.0,부산동구
문화관광형시장,2016,부산진시장,1620.0,부산동구
문화관광형시장,2019,부산진시장,500.0,부산동구
문화관광형시장,2022,부산평화시장,252.0,부산부산진구
첫걸음기반조성,2018,부산평화시장,270.0,부산부산진구
문화관광형시장,2014,부안상설시장,1620.0,전북부안군
첫걸음기반조성,2019,부전시장,290.0,부산부산진구
문화관광형시장,2022,부천상동시장,210.0,경기부천시
문화관광형시장,2021,부천상동시장,250.0,경기부천시
문화관광형시장,2017,부천자유시장,1540.0,경기부천시
디지털전통시장,2023,중동사랑시장(부천중동시장),92.5,경기부천시
문화관광형시장,2019,중동사랑시장(부천중동시장),460.0,경기부천시
문화관광형시장,2021,중동사랑시장(부천중동시장),220.0,경기부천시
문화관광형시장,2022,중동사랑시장(부천중동시장),250.0,경기부천시
첫걸음기반조성,2018,중동사랑시장(부천중동시장),270.0,경기부천시
첫걸음기반조성,2023,부천한신시장,127.5,경기부천시
문화관광형시장,2019,부평깡시장,460.0,인천부평구
문화관광형시장,2017,부평문화의거리,1460.0,인천부평구
문화관광형시장,2021,부평문화의거리,264.0,인천부평구
첫걸음기반조성,2021,부평지하상가,168.0,인천부평구
문화관광형시장,2022,부평종합시장,252.0,인천부평구
문화관광형시장,2019,부평종합시장,480.0,인천부평구
첫걸음기반조성,2018,부평종합시장,270.0,인천부평구
문화관광형시장,2015,부평지하상가,1580.0,인천부평구
문화관광형시장,2018,북신전통시장,1000.0,경남통영시
문화관광형시장,2014,북평민속시장,1520.0,강원동해시
첫걸음기반조성,2022,사기막골도자기시장,108.0,경기이천시
청년몰활성화,2022,정선사북시장,200.0,강원정선군
문화관광형시장,2018,정선사북시장,860.0,강원정선군
청년몰활성화,2021,정선사북시장,120.0,강원정선군
첫걸음기반조성,2022,사직시장,162.0,부산동래구
문화관광형시장,2019,청주사창시장,440.0,충북청주시
첫걸음기반조성,2022,사천읍시장,135.0,경남사천시
청년몰활성화,2018,산격종합시장,150.0,대구북구
문화관광형시장,2019,산본시장,460.0,경기군포시
문화관광형시장,2021,산본시장,184.0,경기군포시
문화관광형시장,2022,산본시장,180.0,경기군포시
첫걸음기반조성,2018,산본시장,270.0,경기군포시
첫걸음기반조성,2019,삼례시장,260.0,전북완주군
청년몰활성화,2020,삼례시장,150.0,전북완주군
문화관광형시장,2018,삼방시장,860.0,경남김해시
첫걸음기반조성,2020,삼익패션타운,150.0,서울중구
문화관광형시장,2022,삼척중앙시장,230.0,강원삼척시
청년몰활성화,2022,삼척중앙시장,100.0,강원삼척시
문화관광형시장,2017,삼척중앙시장,1540.0,강원삼척시
청년몰활성화,2020,삼척중앙시장,150.0,강원삼척시
첫걸음기반조성,2023,상계중앙시장,153.0,서울노원구
문화관광형시장,2014,상남시장,1560.0,경남창원시
첫걸음기반조성,2019,부천상동시장,280.0,경기부천시
문화관광형시장,2023,상주중앙시장,220.0,경북상주시
문화관광형시장,2016,상주중앙시장,1540.0,경북상주시
문화관광형시장,2018,샘고을시장,860.0,전북정읍시
문화관광형시장,2017,서귀포향토오일시장,1580.0,제주서귀포시
문화관광형시장,2017,서남신시장,1540.0,대구달서구
문화관광형시장,2021,서남신시장,282.0,대구달서구
청년몰활성화,2018,서면시장,150.0,부산부산진구
청년몰활성화,2019,서면시장,150.0,부산부산진구
문화관광형시장,2018,서문시장,860.0,충북청주시
문화관광형시장,2021,서변중앙시장,252.0,대구북구
문화관광형시장,2022,서변중앙시장,228.0,대구북구
첫걸음기반조성,2019,서변중앙시장,270.0,대구북구
문화관광형시장,2018,서산동부전통시장(동부시장),860.0,충남서산시
첫걸음기반조성,2018,서울숲상원길상점가,270.0,서울성동구
문화관광형시장,2016,서천특화시장,1600.0,충남서천군
디지털전통시장,2023,석바위시장,92.5,인천미추홀구
문화관광형시장,2017,석바위시장,1540.0,인천미추홀구
문화관광형시장,2021,석바위시장,276.0,인천미추홀구
문화관광형시장,2022,석바위시장,270.0,인천미추홀구
문화관광형시장,2016,선비골전통시장,1740.0,경북영주시
디지털전통시장,2023,설악눈메골시장,82.5,경기가평군
청년몰활성화,2022,설악로데오거리상점가,250.0,강원속초시
청년몰활성화,2020,설악로데오거리상점가,150.0,강원속초시
청년몰활성화,2021,설악로데오거리상점가,100.0,강원속초시
디지털전통시장,2022,성남중앙시장,75.0,경기성남시
디지털전통시장,2022,성대전통시장,75.0,서울동작구
문화관광형시장,2019,성대전통시장,440.0,서울동작구
문화관광형시장,2021,"성서중심시장(성서시장,문화의거리 통합)",180.0,충북충주시
문화관광형시장,2018,성원그랜드쇼핑상가,860.0,경남창원시
문화관광형시장,2021,세종마을음식문화거리,230.0,서울종로구
문화관광형시장,2022,세종마을음식문화거리,200.0,서울종로구
디지털전통시장,2022,세종전통시장,100.0,세종세종시
문화관광형시장,2014,세종전통시장,1600.0,세종세종시
문화관광형시장,2015,세화오일시장,1560.0,제주제주시
첫걸음기반조성,2023,소답시장,127.5,경남창원시
문화관광형시장,2023,소래포구전통어시장,264.0,인천남동구
첫걸음기반조성,2022,소래포구전통어시장,168.0,인천남동구
문화관광형시장,2023,송탄시장,220.0,경기평택시
첫걸음기반조성,2019,송현주공시장(월촌역시장),260.0,대구달서구
문화관광형시장,2018,송화벽화시장,860.0,서울강서구
문화관광형시장,2017,수암상가시장,1600.0,울산남구
문화관광형시장,2015,수영팔도시장,1560.0,부산수영구
문화관광형시장,2023,수영팔도시장,264.0,부산수영구
디지털전통시장,2022,못골종합시장,75.0,경기수원시
문화관광형시장,2017,연무시장,1740.0,경기수원시
문화관광형시장,2014,영동시장,1260.0,경기수원시
디지털전통시장,2022,수유전통시장(수유골목시장),100.0,서울강북구
첫걸음기반조성,2022,수정전통시장,162.0,부산동구
문화관광형시장,2015,순천시아랫장(순천아랫장),1560.0,전남순천시
첫걸음기반조성,2020,순천씨내몰상가,135.0,전남순천시
첫걸음기반조성,2020,신거북시장,140.0,인천서구
디지털전통시장,2022,신기시장,100.0,인천미추홀구
디지털전통시장,2022,신도시장,75.0,대전동구
문화관광형시장,2018,신도시장,860.0,대전동구
문화관광형시장,2021,신도시장,282.0,대전동구
문화관광형시장,2017,신매시장,1540.0,대구수성구
첫걸음기반조성,2023,신안코아,153.0,경기안산시
문화관광형시장,2016,군산신영시장,1540.0,전북군산시
문화관광형시장,2022,신월1동신영시장,230.0,서울양천구
문화관광형시장,2021,신월1동신영시장,250.0,서울양천구
문화관광형시장,2017,신정상가시장,1620.0,울산남구
문화관광형시장,2021,(주)신정시장,220.0,울산남구
문화관광형시장,2022,(주)신정시장,200.0,울산남구
첫걸음기반조성,2020,(주)신정시장,135.0,울산남구
첫걸음기반조성,2023,신정평화시장,153.0,울산남구
청년몰활성화,2020,신정평화시장,180.0,울산남구
문화관광형시장,2016,신중부시장,1700.0,서울중구
문화관광형시장,2018,전주신중앙시장(신중앙시장),860.0,전북전주시
문화관광형시장,2022,신평골목시장,264.0,부산사하구
첫걸음기반조성,2018,십정종합시장(열우물전통시장),270.0,인천부평구
문화관광형시장,2014,아현시장,1480.0,서울마포구
첫걸음기반조성,2020,안계공설시장,108.0,경북의성군
문화관광형시장,2021,중앙신시장,192.0,경북안동시
문화관광형시장,2022,중앙신시장,152.0,경북안동시
문화관광형시장,2021,안면도수산시장(안면도장터),210.0,충남태안군
문화관광형시장,2022,안면도수산시장(안면도장터),200.0,충남태안군
첫걸음기반조성,2020,안면도수산시장(안면도장터),104.0,충남태안군
디지털전통시장,2022,안양중앙인정시장,100.0,경기안양시
첫걸음기반조성,2020,안중시장,112.0,경기평택시
디지털전통시장,2022,암사종합시장,100.0,서울강동구
문화관광형시장,2021,(주)야음시장,230.0,울산남구
문화관광형시장,2022,(주)야음시장,190.0,울산남구
문화관광형시장,2016,약령시장,1540.0,대구중구
청년몰활성화,2021,약령시장,150.0,대구중구
문화관광형시장,2022,양동건어물시장,241.0,광주서구
첫걸음기반조성,2020,양동경열로시장,162.0,광주서구
청년몰활성화,2018,양산남부시장,150.0,경남양산시
문화관광형시장,2016,양수리전통시장(양평양수리시장),1520.0,경기양평군
문화관광형시장,2014,양양전통시장,1520.0,강원양양군
문화관광형시장,2017,용문천년시장,1540.0,경기양평군
문화관광형시장,2018,(주)서시장,860.0,전남여수시
청년몰활성화,2018,중앙시장,150.0,전남여수시
문화관광형시장,2014,역곡상상시장(역곡북부시장),1780.0,경기부천시
문화관광형시장,2022,역곡상상시장(역곡북부시장),220.0,경기부천시
문화관광형시장,2018,역곡상상시장(역곡북부시장),860.0,경기부천시
문화관광형시장,2022,연동시장,264.0,부산연제구
첫걸음기반조성,2020,연동시장,162.0,부산연제구
문화관광형시장,2022,연서시장,220.0,서울은평구
문화관광형시장,2021,연서시장,220.0,서울은평구
첫걸음기반조성,2019,연서시장,270.0,서울은평구
첫걸음기반조성,2023,연수송도역전시장,153.0,인천연수구
청년몰활성화,2018,영동시장,150.0,경기수원시
문화관광형시장,2019,영월종합상가시장,440.0,강원영월군
첫걸음기반조성,2018,영월종합상가시장,270.0,강원영월군
첫걸음기반조성,2023,영주소백쇼핑몰,127.5,경북영주시
문화관광형시장,2022,영천시장,220.0,서울서대문구
첫걸음기반조성,2023,예산상설시장,127.5,충남예산군
문화관광형시장,2022,예스파크 상점가,184.0,경기이천시
첫걸음기반조성,2021,예스파크 상점가,112.0,경기이천시
첫걸음기반조성,2022,예천상설시장,108.0,경북예천군
첫걸음기반조성,2023,오산원동상점가,130.0,경기오산시
문화관광형시장,2015,오색시장,1640.0,경기오산시
문화관광형시장,2022,오색시장,210.0,경기오산시
문화관광형시장,2019,오색시장,480.0,경기오산시
첫걸음기반조성,2020,오창전통시장,135.0,충북청주시
첫걸음기반조성,2023,오천시장,153.0,경북포항시
문화관광형시장,2018,온양온천시장(온양전통시장),860.0,충남아산시
문화관광형시장,2023,온양온천시장(온양전통시장),264.0,충남아산시
문화관광형시장,2021,충주옹달샘시장,176.0,충북충주시
디지털전통시장,2023,와룡시장,92.5,대구달서구
문화관광형시장,2019,와룡시장,460.0,대구달서구
문화관광형시장,2021,와룡시장,276.0,대구달서구
문화관광형시장,2022,와룡시장,300.0,대구달서구
첫걸음기반조성,2018,와수시장,270.0,강원철원군
첫걸음기반조성,2019,완도전통시장(구 완도5일시장),260.0,전남완도군
문화관광형시장,2021,완도전통시장(구 완도5일시장),220.0,전남완도군
문화관광형시장,2023,왜관시장,220.0,경북칠곡군
첫걸음기반조성,2022,왜관시장,140.0,경북칠곡군
문화관광형시장,2022,용문천년시장,184.0,경기양평군
첫걸음기반조성,2019,용산용문시장,280.0,서울용산구
문화관광형시장,2021,용산용문시장,230.0,서울용산구
문화관광형시장,2022,용산용문시장,200.0,서울용산구
첫걸음기반조성,2022,용상공설시장,135.0,경북안동시
첫걸음기반조성,2022,용운시장,162.0,대전동구
문화관광형시장,2015,용인중앙시장,1600.0,경기용인시
문화관광형시장,2022,용현시장,276.0,인천미추홀구
문화관광형시장,2014,용현시장,1520.0,인천미추홀구
디지털전통시장,2023,울산번개시장,82.5,울산남구
문화관광형시장,2019,울산번개시장,460.0,울산남구
첫걸음기반조성,2018,울진공설시장,270.0,경북울진군
문화관광형시장,2019,울진바지게시장,460.0,경북울진군
문화관광형시장,2023,울진시장,220.0,경북울진군
문화관광형시장,2018,원마루시장,860.0,충북청주시
문화관광형시장,2021,원미종합시장,230.0,경기부천시
문화관광형시장,2022,원미종합시장,200.0,경기부천시
첫걸음기반조성,2020,원미종합시장,135.0,경기부천시
문화관광형시장,2017,자유시장,1540.0,강원원주시
첫걸음기반조성,2019,미로예술원주중앙시장(원주중앙시장),270.0,강원원주시
문화관광형시장,2015,미로예술원주중앙시장(원주중앙시장),1560.0,강원원주시
청년몰활성화,2018,미로예술원주중앙시장(원주중앙시장),150.0,강원원주시
첫걸음기반조성,2020,원통시장,108.0,강원인제군
문화관광형시장,2021,월곡시장,210.0,광주광산구
문화관광형시장,2022,월곡시장,200.0,광주광산구
첫걸음기반조성,2020,월곡시장,156.0,광주광산구
첫걸음기반조성,2022,월배시장,162.0,대구달서구
첫걸음기반조성,2022,월배신시장,162.0,대구달서구
문화관광형시장,2023,월봉시장,252.0,울산동구
문화관광형시장,2021,유구시장,176.0,충남공주시
문화관광형시장,2022,유구시장,180.0,충남공주시
첫걸음기반조성,2020,유구시장,108.0,충남공주시
청년몰활성화,2018,육림고개 상점가,150.0,강원춘천시
청년몰활성화,2019,육림고개 상점가,125.0,강원춘천시
첫걸음기반조성,2023,은행나무시장,153.0,서울금천구
문화관광형시장,2015,은행동상점가상인회,420.0,대전중구
문화관광형시장,2022,음성시장,230.0,충북음성군
첫걸음기반조성,2020,음성시장,140.0,충북음성군
문화관광형시장,2023,의령시장,210.0,경남의령군
첫걸음기반조성,2018,의령시장,270.0,경남의령군
디지털전통시장,2023,의정부역지하상가,87.5,경기의정부시
첫걸음기반조성,2022,의정부역지하상가,140.0,경기의정부시
문화관광형시장,2023,익산 구시장,252.0,전북익산시
첫걸음기반조성,2022,익산 구시장,135.0,전북익산시
문화관광형시장,2019,익산장(익산북부장),460.0,전북익산시
첫걸음기반조성,2018,익산장(익산북부장),270.0,전북익산시
문화관광형시장,2021,인천모래내전통시장,276.0,인천남동구
문화관광형시장,2022,인천모래내전통시장,240.0,인천남동구
문화관광형시장,2023,인천축산물시장,264.0,인천서구
첫걸음기반조성,2020,인천축산물시장,140.0,인천서구
문화관광형시장,2023,인헌시장,252.0,서울관악구
첫걸음기반조성,2022,인헌시장,135.0,서울관악구
첫걸음기반조성,2022,일신시장(부일종합시장),162.0,인천부평구
문화관광형시장,2022,자양전통시장,220.0,서울광진구
문화관광형시장,2022,자유시장,176.0,경남진주시
문화관광형시장,2022,자유시장,190.0,전남목포시
문화관광형시장,2017,부산자유시장,1620.0,부산동구
문화관광형시장,2021,자유시장,230.0,전남목포시
문화관광형시장,2018,작전시장,860.0,인천계양구
