사업명,지원연도,시장명,지원금액(단위_백만원),지자체,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,행정동명_x,위치위도_x,위치경도_x,상점수_x,가맹점수,가맹률,Unnamed: 0,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,배송서비스,장보기서비스,시도,시군구,청년몰점포수,행정동명_y,시장유형명,상점수_y,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도_y,위치경도_y,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
문화관광형시장,2017,부평문화의거리,1460.0,인천부평구,13921.0,210.0,0.0,0.0,10.0,210.0,250.0,10.0,470.0,,,,,,,480.0,법적단체,210.0,210.0,1.0,1.0,1.0,,,,부평5동,상설장,210.0,매일,"가공식품,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.49408196,126.7250051,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2021,부평문화의거리,264.0,인천부평구,13921.0,210.0,0.0,0.0,10.0,210.0,250.0,10.0,470.0,,,,,,,480.0,법적단체,210.0,210.0,1.0,1.0,1.0,,,,부평5동,상설장,210.0,매일,"가공식품,의류/신발,가정용품,음식점업,기타소매업",Y,Y,37.49408196,126.7250051,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2021,부평시장로타리지하상가,168.0,인천부평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2022,부평종합시장,252.0,인천부평구,11655.0,210.0,0.0,0.0,200.0,210.0,500.0,200.0,910.0,부평4동,37.49649796,126.7266188,200.0,245.0,122.5,481.0,법적단체,200.0,200.0,1.0,1.0,1.0,,,,부평4동,상설장,200.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49649796,126.7266188,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2022,부평종합시장,251.0,인천부평구,11655.0,210.0,0.0,0.0,200.0,210.0,500.0,200.0,910.0,부평4동,37.49649796,126.7266188,200.0,245.0,122.5,481.0,법적단체,200.0,200.0,1.0,1.0,1.0,,,,부평4동,상설장,200.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49649796,126.7266188,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2019,부평종합시장,480.0,인천부평구,11655.0,210.0,0.0,0.0,200.0,210.0,500.0,200.0,910.0,부평4동,37.49649796,126.7266188,200.0,245.0,122.5,481.0,법적단체,200.0,200.0,1.0,1.0,1.0,,,,부평4동,상설장,200.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49649796,126.7266188,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2018,부평종합시장,270.0,인천부평구,11655.0,210.0,0.0,0.0,200.0,210.0,500.0,200.0,910.0,부평4동,37.49649796,126.7266188,200.0,245.0,122.5,481.0,법적단체,200.0,200.0,1.0,1.0,1.0,,,,부평4동,상설장,200.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.49649796,126.7266188,6.0,796.0,430116.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2015,부평지하도상가,1580.0,인천부평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2018,북신전통시장,1000.0,경남통영시,2970.0,136.0,0.0,0.0,82.0,136.0,122.0,82.0,340.0,북신동,34.85415526,128.4275309,137.0,123.0,89.7810219,1281.0,법적단체,105.0,137.0,0.766423358,1.0,1.0,,,,북신동,상설장,137.0,매일,"농산물,축산물,수산물,기타소매업,근린생활서비스",Y,Y,34.85415526,128.4275309,3.0,657.0,99786.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
문화관광형시장,2014,북평민속시장,1520.0,강원동해시,148000.0,220.0,48.0,0.0,400.0,220.0,50.0,400.0,670.0,,,,,,,728.0,법적단체,60.0,140.0,0.428571429,1.0,1.0,,,,북평동,상설장+5일장,140.0,3일+8일,"농산물,수산물,기타소매업",Y,Y,37.48247246,129.1260277,4.0,705.0,70415.0,99.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,90.0,2.0,1.0,2.0,2.0
