사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,광탄시장,경기파주시,광탄면,4602,0,71,2.0,0,0.0,512902.0,1.0,44,2551,0,2.7,1
문화관광형시장,문산자유시장,경기파주시,문산읍,11785,0,155,2.0,2,0.0,512902.0,1.0,61,16987,0,2.7,4
문화관광형시장,적성전통시장,경기파주시,적성면,2737,0,50,2.0,0,1.0,512902.0,0.0,15,2110,0,2.7,1
문화관광형시장,송탄시장,경기평택시,송북동,5484,24,155,11.0,13,1.0,639679.0,0.0,67,7269,0,2.7,1
문화관광형시장,통복시장,경기평택시,신장2동,1897,25,164,11.0,10,1.0,639679.0,0.0,73,1581,0,2.7,1
문화관광형시장,신장전통시장,경기하남시,신장1동,1977,17,335,1.0,9,1.0,337507.0,6.0,81,2505,0,2.5,6
문화관광형시장,거제고현시장,경남거제시,고현동,6654,21,65,11.0,7,0.0,287636.0,6.0,55,12101,0,4.3,20
문화관광형시장,거창시장,경남거창군,거창읍,11745,42,568,2.0,5,0.0,77757.0,0.0,54,12960,0,1.3,5
청년몰활성화,거창시장,경남거창군,거창읍,11745,42,568,2.0,5,0.0,77757.0,0.0,54,12960,0,1.3,5
문화관광형시장,고성공룡시장,경남고성군,고성읍,7880,7,110,1.0,4,0.0,66245.0,1.0,14,6533,0,2.6,8
문화관광형시장,고성시장,경남고성군,고성읍,7880,7,106,1.0,1,0.0,66245.0,1.0,19,6533,0,2.6,6
문화관광형시장,김해전통시장(김해동상시장),경남김해시,동상동,2971,16,359,4.0,13,2.0,621928.0,3.0,46,2823,0,4.7,13
문화관광형시장,삼방시장,경남김해시,삼안동,8764,3,155,4.0,12,0.0,621928.0,5.0,30,10536,8,4.7,5
