사업명,지원연도,시장명,지원금액(단위_백만원),지자체,배송서비스,장보기서비스,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만),시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,청년몰점포수,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,가맹점수,가맹률
문화관광형시장,2023,간석자유시장,264.0,인천남동구,1.0,1.0,간석3동,상설장,138.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,37.46388365,126.7153431,8.0,1694.0,430153.0,253.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,6529.0,120.0,8.0,0.0,0.0,120.0,0.0,0.0,120.0,,법적단체,120.0,138.0,0.8695652173913043,84.0,60.86956521739131
문화관광형시장,2021,간석자유시장,225.0,인천남동구,1.0,1.0,간석3동,상설장,138.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,37.46388365,126.7153431,8.0,1694.0,430153.0,253.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,6529.0,120.0,8.0,0.0,0.0,120.0,0.0,0.0,120.0,,법적단체,120.0,138.0,0.8695652173913043,84.0,60.86956521739131
첫걸음기반조성,2019,간석자유시장,280.0,충북충주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2018,강남시장,860.0,경기부천시,1.0,1.0,부천동,상설장,113.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.50722163,126.7813065,17.0,1639.0,700878.0,427.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,8164.0,104.0,6.0,0.0,6.0,104.0,0.0,6.0,110.0,,법적단체,108.0,113.0,0.9557522123893806,9.0,7.964601769911504
문화관광형시장,2018,강남시장,860.0,인천서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
첫걸음기반조성,2022,강북종합전통시장,135.0,서울강북구,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4880.0,68.0,1.0,0.0,4.0,68.0,20.0,4.0,92.0,,,,,,,
문화관광형시장,2014,강진읍시장,1560.0,전남강진군,1.0,1.0,강진읍,상설장+5일장,84.0,4일+9일,"농산물,수산물,가공식품,의류/신발,음식점업",Y,Y,34.6403433,126.7741164,3.0,175.0,25189.0,143.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,10939.0,80.0,8.0,0.0,150.0,80.0,0.0,150.0,230.0,,임의단체,71.0,84.0,0.8452380952380952,68.0,80.95238095238095
문화관광형시장,2019,강진중앙로상가,440.0,전남강진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100.0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,120.0,,,,,,,
문화관광형시장,2021,강진중앙로상가,220.0,전남강진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100.0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,120.0,,,,,,,
문화관광형시장,2022,강진중앙로상가,200.0,전남강진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100.0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,120.0,,,,,,,
